,originalTitle,numVotes,startYear,averageRating
438532,CM101MMXI Fundamentals,44245,2013.0,9.2
144998,Soorarai Pottru,79146,2020.0,9.1
54935,The Dark Knight,2357010,2008.0,9.0
470,The Lord of the Rings: The Return of the King,1673113,2003.0,8.9
277541,Inception,2115014,2010.0,8.8
97,The Lord of the Rings: The Fellowship of the Ring,1693856,2001.0,8.8
617309,Dag II,106012,2016.0,8.7
471,The Lord of the Rings: The Two Towers,1513014,2002.0,8.7
105632,Interstellar,1559592,2014.0,8.6
3719,Sen to Chihiro no kamikakushi,671048,2001.0,8.6
664997,Gisaengchung,609491,2019.0,8.6
16568,Cidade de Deus,709497,2002.0,8.6
4611,The Pianist,749070,2002.0,8.5
37174,The Departed,1213429,2006.0,8.5
530,Gladiator,1366708,2000.0,8.5
59405,The Prestige,1216138,2006.0,8.5
334085,Intouchables,778692,2011.0,8.5
736348,Hamilton,64601,2020.0,8.5
438008,Whiplash,739121,2014.0,8.5
291302,Senna,65284,2010.0,8.5
