"","x"
"1",10.32535451
"2",12.70360115
"3",9.16341242
"4",6.141684687
"5",9.084557127
"6",8.006680404
"7",12.21351422
"8",13.14586194
"9",10.21070232
"10",9.95598216
"11",8.600079626
"12",7.945919332
"13",9.607072191
"14",9.442921397
"15",11.64845665
"16",10.06744333
"17",6.057555222
"18",7.771630279
"19",9.640286921
"20",4.730438948
"21",7.480861338
"22",9.777392999
"23",7.41308396
"24",10.57368001
"25",10.72108876
"26",11.89158361
"27",5.922140454
"28",9.352555205
"29",9.893749785
"30",8.482984358
"31",8.998744324
"32",11.8459038
"33",12.20835639
"34",7.677332213
"35",8.658826161
"36",10.69086294
"37",9.346930051
"38",8.857353301
"39",13.06013327
"40",9.719600392
"41",8.182749727
"42",8.522669967
"43",9.93791949
"44",11.26652635
"45",5.988922407
"46",7.520859914
"47",7.250700981
"48",8.440076997
"49",11.16788815
"50",8.878865108
"51",8.61308345
"52",12.49270197
"53",13.04466784
"54",12.24282229
"55",8.682865304
"56",8.492939254
"57",12.20503706
"58",9.538302459
"59",8.452817137
"60",8.222630462
"61",8.220958039
"62",8.767387641
"63",12.09594738
"64",9.853153707
"65",13.98105678
"66",7.628281007
"67",5.759794177
"68",8.365713668
"69",6.06754791
"70",9.391478097
"71",10.25093027
"72",12.37974883
"73",10.47608649
"74",12.09495894
"75",10.70526824
"76",8.312212291
"77",10.76470133
"78",7.73441493
"79",10.39836099
"80",12.67003103
"81",6.559749503
"82",14.40312609
"83",16.39093818
"84",10.02618384
"85",11.27248308
"86",5.898280749
"87",6.235625243
"88",12.6401098
"89",8.757347873
"90",10.43709307
"91",7.287785179
"92",10.50736551
"93",9.097377377
"94",8.696977031
"95",14.73201833
"96",11.36939692
"97",11.80646927
"98",10.9808344
"99",11.38693959
"100",11.37562423
"101",6.031436517
"102",11.13671315
"103",4.596113613
"104",8.983068992
"105",11.58921692
"106",7.197376629
"107",11.55941379
"108",6.997048302
"109",4.740093389
"110",5.507526365
"111",10.00526177
"112",8.862633504
"113",12.44664602
"114",12.13159524
"115",8.704583931
"116",7.844435403
"117",8.443006543
"118",7.370130571
"119",7.539080417
"120",10.62644069
"121",8.993814442
"122",9.973220835
"123",11.70778979
"124",9.811011714
"125",12.40065482
"126",11.41044296
"127",6.311714373
"128",12.79347315
"129",6.745230562
"130",6.602259522
"131",6.488746525
"132",8.763302661
"133",8.001585364
"134",9.952563527
"135",8.386490126
"136",9.867832297
"137",12.11899779
"138",10.82529013
"139",11.30215265
"140",4.682130115
"141",11.0894051
"142",7.789567439
"143",10.48064734
"144",9.645827851
"145",8.532578745
"146",8.482121783
"147",6.476260287
"148",8.287216443
"149",8.382424905
"150",7.168244438
"151",11.60432397
"152",10.87637499
"153",6.945226549
"154",9.659854438
"155",9.73594332
"156",10.04261151
"157",8.045387388
"158",7.643635918
"159",9.026048868
"160",9.989024863
"161",9.429274385
"162",7.858066452
"163",9.370821145
"164",6.44573081
"165",8.061174844
"166",13.22549451
"167",8.656617852
"168",10.9868268
"169",12.72291541
"170",5.13941979
"171",10.94261572
"172",9.067720499
"173",11.7941459
"174",9.058143824
"175",8.713261408
"176",7.289367621
"177",12.19477723
"178",10.36724402
"179",8.517911807
"180",11.04290184
"181",9.186621587
"182",11.47805638
"183",10.94417901
"184",9.749791116
"185",9.647546632
"186",13.27117745
"187",11.07026788
"188",8.554775435
"189",9.830014244
"190",10.19416686
"191",10.01084172
"192",8.565767142
"193",10.61687333
"194",9.451616009
"195",11.03896727
"196",8.460504119
"197",12.47793753
"198",8.389059687
"199",9.068211474
"200",12.2669461
"201",5.594345095
"202",7.835563531
"203",5.877676847
"204",12.55937187
"205",11.62280895
"206",10.01222508
"207",9.227503763
"208",6.764212545
"209",8.279624178
"210",7.647223983
"211",12.20041655
"212",10.52293824
"213",8.309621374
"214",11.1215172
"215",10.19707553
"216",11.36707534
"217",8.120859563
"218",9.461335137
"219",12.77246367
"220",8.411289602
"221",11.37025111
"222",7.883861984
"223",9.224135834
"224",7.398476871
"225",11.19743758
"226",7.265534241
"227",11.54193356
"228",6.778282977
"229",9.915109306
"230",10.15882457
"231",11.15544688
"232",6.494839717
"233",6.569908638
"234",7.889907336
"235",9.198467241
"236",10.32008925
"237",9.387917228
"238",10.96151863
"239",7.143683828
"240",7.852826244
"241",10.57851158
"242",10.20509727
"243",10.92688148
"244",9.546235796
"245",7.153992933
"246",6.339256593
"247",8.300746905
"248",7.036636657
"249",7.074734822
"250",10.94588163
"251",8.528899717
"252",10.93665495
"253",9.147678235
"254",8.486235852
"255",10.79796499
"256",9.176440628
"257",8.791996426
"258",10.21380204
"259",8.281813071
"260",7.081469533
"261",7.391261488
"262",12.9112976
"263",10.08938472
"264",10.23126814
"265",8.170849834
"266",9.119039841
"267",11.91515828
"268",5.299295427
"269",7.708784021
"270",7.4457074
"271",8.65509164
"272",9.847931787
"273",9.801266239
"274",12.78015842
"275",11.86905619
"276",8.849245303
"277",12.06645731
"278",7.278573978
"279",11.96769428
"280",9.687324871
"281",8.705046246
"282",8.483726804
"283",7.996060424
"284",6.655006132
"285",9.625604369
"286",11.76683984
"287",12.41788657
"288",9.488569654
"289",9.270139483
"290",10.85536935
"291",11.15226617
"292",12.80475833
"293",7.971062509
"294",10.19078207
